Species,Year,Total,Books,Index,,,,
Cheetah,2013,35,21,1.7,,,,
Cheetah,2014,29,22,1.3,,,,
Cheetah,2015,26,13,2,,,,
Cheetah,2016,34,33,1,,,,
Cheetah,2017,34,30,1.1,,,,
Cheetah,2018,33,13,2.5,,,,
Cheetah,2019,36,22,1.6,,,,
Cheetah,2020,29,21,1.4,,,,
Cheetah,2021,11,30,0.4,,,,
Cheetah,2022,41,22,1.9,,,,
Cheetah,2023,56,13,4.3,,,,
"Jackal, Black-backed",2013,126,23,5.5,,,,
"Jackal, Black-backed",2014,137,32,4.3,,,,
"Jackal, Black-backed",2015,154,22,7,,,,
"Jackal, Black-backed",2016,138,13,10.6,,,,
"Jackal, Black-backed",2017,71,12,5.9,,,,
"Jackal, Black-backed",2018,214,13,16.5,,,,
"Jackal, Black-backed",2019,246,33,7.5,,,,
"Jackal, Black-backed",2020,130,32,4.1,,,,
"Jackal, Black-backed",2021,199,30,6.6,,,,
"Jackal, Black-backed",2022,335,32,10.5,,,,
"Jackal, Black-backed",2023,32,19,1.7,,,,
Leopard,2013,170,21,8.1,,,,
Leopard,2014,121,32,3.8,,,,
Leopard,2015,169,32,5.3,,,,
Leopard,2016,125,22,5.7,,,,
Leopard,2017,146,20,7.3,,,,
Leopard,2018,204,31,6.6,,,,
Leopard,2019,263,33,8,,,,
Leopard,2020,185,32,5.8,,,,
Leopard,2021,154,30,5.1,,,,
Leopard,2022,194,22,8.8,,,,
Leopard,2023,193,32,6,,,,
Lion,2013,62,21,3,,,,
Lion,2014,60,32,1.9,,,,
Lion,2015,59,22,2.7,,,,
Lion,2016,87,22,4,,,,
Lion,2017,47,20,2.4,,,,
Lion,2018,64,21,3,,,,
Lion,2019,35,22,1.6,,,,
Lion,2020,37,21,1.8,,,,
Lion,2021,34,12,2.8,,,,
Lion,2022,40,22,1.8,,,,
Lion,2023,53,21,2.5,,,,
Spotted Hyaena,2013,613,31,19.8,,,,
Spotted Hyaena,2014,288,32,9,,,,
Spotted Hyaena,2015,363,32,11.3,,,,
Spotted Hyaena,2016,262,33,7.9,,,,
Spotted Hyaena,2017,290,30,9.7,,,,
Spotted Hyaena,2018,495,31,16,,,,
Spotted Hyaena,2019,681,33,20.6,,,,
Spotted Hyaena,2020,321,32,10,,,,
Spotted Hyaena,2021,365,30,12.2,,,,
Spotted Hyaena,2022,487,32,15.2,,,,
Spotted Hyaena,2023,495,32,15.5,,,,
