ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,
1,Nyae Nyae,Aardwolf,2017,,,1431,,,,,,,
1,Nyae Nyae,Aardwolf,2018,,,1906,,,,,,,
1,Nyae Nyae,Aardwolf,2019,,,1989,,,,,,,
1,Nyae Nyae,Aardwolf,2020,,,1985,,,,,,,
1,Nyae Nyae,Aardwolf,2021,,,1770,,,,,,,
1,Nyae Nyae,Aardwolf,2022,,,2066,,,,,,,
1,Nyae Nyae,Aardwolf,2023,,,2055,,,,,,,
1,Nyae Nyae,Aardwolf,2024,3,3,2004,0.1,,,,,,
1,Nyae Nyae,African Wildcat,2017,,,1431,,,,,,,
1,Nyae Nyae,African Wildcat,2018,,,1906,,,,,,,
1,Nyae Nyae,African Wildcat,2019,1,1,1989,0.1,,,,,,
1,Nyae Nyae,African Wildcat,2020,,,1985,,,,,,,
1,Nyae Nyae,African Wildcat,2021,2,2,1770,0.1,,,,,,
1,Nyae Nyae,African Wildcat,2022,,,2066,,,,,,,
1,Nyae Nyae,African Wildcat,2023,1,1,2055,0,,,,,,
1,Nyae Nyae,African Wildcat,2024,,,2004,,,,,,,
1,Nyae Nyae,Baboon,2017,,,1431,,,,,,,
1,Nyae Nyae,Baboon,2018,,,1906,,,,,,,
1,Nyae Nyae,Baboon,2019,,,1989,,,,,,,
1,Nyae Nyae,Baboon,2020,,,1985,,,,,,,
1,Nyae Nyae,Baboon,2021,,,1770,,,,,,,
1,Nyae Nyae,Baboon,2022,,,2066,,,,,,,
1,Nyae Nyae,Baboon,2023,,,2055,,,,,,,
1,Nyae Nyae,Baboon,2024,,,2004,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2017,,,1431,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2018,,,1906,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2019,,,1989,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2020,2,1,1985,0.1,,,,,,
1,Nyae Nyae,Bat-eared Fox,2021,,,1770,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2022,,,2066,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2023,,,2055,,,,,,,
1,Nyae Nyae,Bat-eared Fox,2024,2,1,2004,0.1,,,,,,
1,Nyae Nyae,Burchell's Zebra,2017,,,1431,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2018,,,1906,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2019,,,1989,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2020,,,1985,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2021,,,1770,,,,,,,
1,Nyae Nyae,Burchell's Zebra,2022,63,9,2066,3,,,,,,
1,Nyae Nyae,Burchell's Zebra,2023,103,13,2055,5,,,,,,
1,Nyae Nyae,Burchell's Zebra,2024,78,12,2004,3.9,,,,,,
1,Nyae Nyae,Bushpig,2017,,,1431,,,,,,,
1,Nyae Nyae,Bushpig,2018,,,1906,,,,,,,
1,Nyae Nyae,Bushpig,2019,,,1989,,,,,,,
1,Nyae Nyae,Bushpig,2020,1,1,1985,0.1,,,,,,
1,Nyae Nyae,Bushpig,2021,,,1770,,,,,,,
1,Nyae Nyae,Bushpig,2022,,,2066,,,,,,,
1,Nyae Nyae,Bushpig,2023,,,2055,,,,,,,
1,Nyae Nyae,Bushpig,2024,,,2004,,,,,,,
1,Nyae Nyae,Caracal,2017,,,1431,,,,,,,
1,Nyae Nyae,Caracal,2018,,,1906,,,,,,,
1,Nyae Nyae,Caracal,2019,,,1989,,,,,,,
1,Nyae Nyae,Caracal,2020,,,1985,,,,,,,
1,Nyae Nyae,Caracal,2021,,,1770,,,,,,,
1,Nyae Nyae,Caracal,2022,,,2066,,,,,,,
1,Nyae Nyae,Caracal,2023,,,2055,,,,,,,
1,Nyae Nyae,Caracal,2024,,,2004,,,,,,,
1,Nyae Nyae,Cheetah,2017,,,1431,,,,,,,
1,Nyae Nyae,Cheetah,2018,,,1906,,,,,,,
1,Nyae Nyae,Cheetah,2019,,,1989,,,,,,,
1,Nyae Nyae,Cheetah,2020,,,1985,,,,,,,
1,Nyae Nyae,Cheetah,2021,,,1770,,,,,,,
1,Nyae Nyae,Cheetah,2022,,,2066,,,,,,,
1,Nyae Nyae,Cheetah,2023,,,2055,,,,,,,
1,Nyae Nyae,Cheetah,2024,1,1,2004,0,,,,,,
1,Nyae Nyae,Duiker,2017,51,48,1431,3.6,,,,,,
1,Nyae Nyae,Duiker,2018,47,44,1906,2.5,,,,,,
1,Nyae Nyae,Duiker,2019,54,53,1989,2.7,,,,,,
1,Nyae Nyae,Duiker,2020,50,48,1985,2.5,,,,,,
1,Nyae Nyae,Duiker,2021,74,71,1770,4.2,,,,,,
1,Nyae Nyae,Duiker,2022,73,71,2066,3.5,,,,,,
1,Nyae Nyae,Duiker,2023,89,80,2055,4.3,,,,,,
1,Nyae Nyae,Duiker,2024,53,47,2004,2.6,,,,,,
1,Nyae Nyae,Eland,2017,5,1,1431,0.3,,,,,,
1,Nyae Nyae,Eland,2018,2,2,1906,0.1,,,,,,
1,Nyae Nyae,Eland,2019,,,1989,,,,,,,
1,Nyae Nyae,Eland,2020,3,1,1985,0.2,,,,,,
1,Nyae Nyae,Eland,2021,,,1770,,,,,,,
1,Nyae Nyae,Eland,2022,1,1,2066,0,,,,,,
1,Nyae Nyae,Eland,2023,15,1,2055,0.7,,,,,,
1,Nyae Nyae,Eland,2024,6,1,2004,0.3,,,,,,
1,Nyae Nyae,Elephant,2017,91,39,1431,6.4,,,,,,
1,Nyae Nyae,Elephant,2018,251,68,1906,13.2,,,,,,
1,Nyae Nyae,Elephant,2019,366,70,1989,18.4,,,,,,
1,Nyae Nyae,Elephant,2020,195,63,1985,9.8,,,,,,
1,Nyae Nyae,Elephant,2021,316,61,1770,17.9,,,,,,
1,Nyae Nyae,Elephant,2022,245,56,2066,11.9,,,,,,
1,Nyae Nyae,Elephant,2023,692,137,2055,33.7,,,,,,
1,Nyae Nyae,Elephant,2024,360,95,2004,18,,,,,,
1,Nyae Nyae,Gemsbok,2017,120,22,1431,8.4,,,,,,
1,Nyae Nyae,Gemsbok,2018,51,17,1906,2.7,,,,,,
1,Nyae Nyae,Gemsbok,2019,89,25,1989,4.5,,,,,,
1,Nyae Nyae,Gemsbok,2020,62,28,1985,3.1,,,,,,
