Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,
Aardwolf,2013,,,322,,,,,,,,,
Aardwolf,2014,,,369,,,,,,,,,
Aardwolf,2015,,,351,,,,,,,,,
Aardwolf,2016,,,367,,,,,,,,,
Aardwolf,2017,,,1795,,,,,,,,,
Aardwolf,2018,,,2248,,,,,,,,,
Aardwolf,2019,,,2359,,,,,,,,,
Aardwolf,2020,,,2392,,,,,,,,,
Aardwolf,2021,,,2123,,,,,,,,,
Aardwolf,2022,,,2393,,,,,,,,,
Aardwolf,2023,,,2412,,,,,,,,,
Aardwolf,2024,3,3,2367,0.1,,,,,,,,
African Wildcat,2013,,,322,,,,,,,,,
African Wildcat,2014,,,369,,,,,,,,,
African Wildcat,2015,,,351,,,,,,,,,
African Wildcat,2016,,,367,,,,,,,,,
African Wildcat,2017,,,1795,,,,,,,,,
African Wildcat,2018,,,2248,,,,,,,,,
African Wildcat,2019,1,1,2359,0,,,,,,,,
African Wildcat,2020,,,2392,,,,,,,,,
African Wildcat,2021,2,2,2123,0.1,,,,,,,,
African Wildcat,2022,,,2393,,,,,,,,,
African Wildcat,2023,1,1,2412,0,,,,,,,,
African Wildcat,2024,,,2367,,,,,,,,,
Baboon,2013,,,322,,,,,,,,,
Baboon,2014,,,369,,,,,,,,,
Baboon,2015,,,351,,,,,,,,,
Baboon,2016,,,367,,,,,,,,,
Baboon,2017,,,1795,,,,,,,,,
Baboon,2018,,,2248,,,,,,,,,
Baboon,2019,,,2359,,,,,,,,,
Baboon,2020,,,2392,,,,,,,,,
Baboon,2021,10,1,2123,0.5,,,,,,,,
Baboon,2022,,,2393,,,,,,,,,
Baboon,2023,,,2412,,,,,,,,,
Baboon,2024,,,2367,,,,,,,,,
Bat-eared Fox,2013,,,322,,,,,,,,,
Bat-eared Fox,2014,,,369,,,,,,,,,
Bat-eared Fox,2015,,,351,,,,,,,,,
Bat-eared Fox,2016,,,367,,,,,,,,,
Bat-eared Fox,2017,,,1795,,,,,,,,,
Bat-eared Fox,2018,,,2248,,,,,,,,,
Bat-eared Fox,2019,,,2359,,,,,,,,,
Bat-eared Fox,2020,2,1,2392,0.1,,,,,,,,
Bat-eared Fox,2021,,,2123,,,,,,,,,
Bat-eared Fox,2022,,,2393,,,,,,,,,
Bat-eared Fox,2023,,,2412,,,,,,,,,
Bat-eared Fox,2024,2,1,2367,0.1,,,,,,,,
Burchell's Zebra,2013,,,322,,,,,,,,,
Burchell's Zebra,2014,,,369,,,,,,,,,
Burchell's Zebra,2015,,,351,,,,,,,,,
Burchell's Zebra,2016,,,367,,,,,,,,,
Burchell's Zebra,2017,,,1795,,,,,,,,,
Burchell's Zebra,2018,,,2248,,,,,,,,,
Burchell's Zebra,2019,,,2359,,,,,,,,,
Burchell's Zebra,2020,,,2392,,,,,,,,,
Burchell's Zebra,2021,,,2123,,,,,,,,,
Burchell's Zebra,2022,63,9,2393,2.6,,,,,,,,
Burchell's Zebra,2023,103,13,2412,4.3,,,,,,,,
Burchell's Zebra,2024,78,12,2367,3.3,,,,,,,,
Bushpig,2013,,,322,,,,,,,,,
Bushpig,2014,,,369,,,,,,,,,
Bushpig,2015,2,1,351,0.6,,,,,,,,
Bushpig,2016,,,367,,,,,,,,,
Bushpig,2017,,,1795,,,,,,,,,
Bushpig,2018,,,2248,,,,,,,,,
Bushpig,2019,,,2359,,,,,,,,,
Bushpig,2020,1,1,2392,0,,,,,,,,
Bushpig,2021,,,2123,,,,,,,,,
Bushpig,2022,3,1,2393,0.1,,,,,,,,
Bushpig,2023,2,1,2412,0.1,,,,,,,,
Bushpig,2024,,,2367,,,,,,,,,
Caracal,2013,,,322,,,,,,,,,
Caracal,2014,,,369,,,,,,,,,
Caracal,2015,,,351,,,,,,,,,
Caracal,2016,,,367,,,,,,,,,
Caracal,2017,,,1795,,,,,,,,,
Caracal,2018,,,2248,,,,,,,,,
Caracal,2019,,,2359,,,,,,,,,
Caracal,2020,,,2392,,,,,,,,,
Caracal,2021,,,2123,,,,,,,,,
Caracal,2022,1,1,2393,0,,,,,,,,
Caracal,2023,,,2412,,,,,,,,,
Caracal,2024,,,2367,,,,,,,,,
Cheetah,2013,,,322,,,,,,,,,
Cheetah,2014,,,369,,,,,,,,,
Cheetah,2015,,,351,,,,,,,,,
Cheetah,2016,,,367,,,,,,,,,
Cheetah,2017,,,1795,,,,,,,,,
Cheetah,2018,,,2248,,,,,,,,,
Cheetah,2019,,,2359,,,,,,,,,
Cheetah,2020,,,2392,,,,,,,,,
Cheetah,2021,,,2123,,,,,,,,,
Cheetah,2022,,,2393,,,,,,,,,
Cheetah,2023,,,2412,,,,,,,,,
Cheetah,2024,1,1,2367,0,,,,,,,,
Duiker,2013,27,26,322,8.4,,,,,,,,
Duiker,2014,41,36,369,11.1,,,,,,,,
Duiker,2015,56,53,351,15.9,,,,,,,,
Duiker,2016,43,40,367,11.7,,,,,,,,
