Year,Cons,Gemsbok,Giraffe,Hartmann's Zebra,Kudu,Ostrich,Springbok,Steenbok,,,,,,,,,,,,,,,,,
2001,//Huab,138,,63,55,27,163,,,,,,,,,,,,,,,,,,
2001,≠Khoadi-//Hôas,921,63,322,1023,439,2167,521,,,,,,,,,,,,,,,,,
2001,Anabeb,417,,613,,303,9810,,,,,,,,,,,,,,,,,,
2001,Doro !nawas,738,,361,125,145,4910,859,,,,,,,,,,,,,,,,,
2001,Ehi-Rovipuka,179,113,122,160,54,1182,315,,,,,,,,,,,,,,,,,
2001,Etendeka,881,109,1212,315,7,11552,,,,,,,,,,,,,,,,,,
2001,Hobatere,536,184,836,98,17,993,114,,,,,,,,,,,,,,,,,
2001,Marienfluss,1016,,,,349,6741,143,,,,,,,,,,,,,,,,,
2001,Okangundumba,,,,,,,,,,,,,,,,,,,,,,,,
2001,Okondjombo,38,,,,132,6251,,,,,,,,,,,,,,,,,,
2001,Omatendeka,359,,,,148,8136,104,,,,,,,,,,,,,,,,,
2001,Orupembe,2238,,103,,390,9811,884,,,,,,,,,,,,,,,,,
2001,Orupupa,,,,,131,319,,,,,,,,,,,,,,,,,,
2001,Ozondundu,,,,,346,255,543,,,,,,,,,,,,,,,,,
2001,Palmwag,2922,267,2611,32,835,26364,104,,,,,,,,,,,,,,,,,
2001,Puros,1952,201,52,,751,10959,,,,,,,,,,,,,,,,,,
2001,Sanitatas,355,,233,,182,2766,,,,,,,,,,,,,,,,,,
2001,Sesfontein,1994,79,677,,180,2467,,,,,,,,,,,,,,,,,,
2001,Sorris Sorris,116,,,60,387,5554,1169,,,,,,,,,,,,,,,,,
2001,Torra,2091,101,522,342,771,12596,562,,,,,,,,,,,,,,,,,
2001,Tsiseb,381,,123,,445,22668,987,,,,,,,,,,,,,,,,,
2002,//Huab,42,,,173,,98,511,,,,,,,,,,,,,,,,,
2002,≠Khoadi-//Hôas,1862,51,393,1186,305,1518,734,,,,,,,,,,,,,,,,,
2002,Anabeb,274,,304,28,186,5355,34,,,,,,,,,,,,,,,,,
2002,Doro !nawas,1866,8,145,,658,8611,322,,,,,,,,,,,,,,,,,
2002,Ehi-Rovipuka,893,119,115,187,94,616,541,,,,,,,,,,,,,,,,,
2002,Etendeka,2282,131,1649,289,,6412,28,,,,,,,,,,,,,,,,,
2002,Hobatere,1556,171,663,47,10,553,64,,,,,,,,,,,,,,,,,
2002,Marienfluss,536,,317,,413,9057,,,,,,,,,,,,,,,,,,
2002,Okangundumba,,,,,96,5445,563,,,,,,,,,,,,,,,,,
2002,Okondjombo,,,,,,2743,,,,,,,,,,,,,,,,,,
2002,Omatendeka,413,4,30,,87,7670,80,,,,,,,,,,,,,,,,,
2002,Orupembe,1908,9,120,,904,24716,,,,,,,,,,,,,,,,,,
2002,Orupupa,,,,,,1622,285,,,,,,,,,,,,,,,,,
2002,Ozondundu,,,,155,,,374,,,,,,,,,,,,,,,,,
2002,Palmwag,5410,179,2368,216,434,11365,157,,,,,,,,,,,,,,,,,
2002,Puros,4176,343,207,,1263,27459,,,,,,,,,,,,,,,,,,
2002,Sanitatas,765,21,60,,307,4752,182,,,,,,,,,,,,,,,,,
2002,Sesfontein,3611,112,187,,306,3043,,,,,,,,,,,,,,,,,,
2002,Sorris Sorris,,,,353,26,7552,767,,,,,,,,,,,,,,,,,
2002,Torra,3984,84,814,356,444,18102,246,,,,,,,,,,,,,,,,,
2002,Tsiseb,362,,26,,437,31069,179,,,,,,,,,,,,,,,,,
2003,//Huab,8,,62,70,13,207,1340,,,,,,,,,,,,,,,,,
2003,≠Khoadi-//Hôas,1380,99,429,814,154,3177,789,,,,,,,,,,,,,,,,,
2003,Anabeb,142,,153,,133,5337,,,,,,,,,,,,,,,,,,
2003,Doro !nawas,1040,8,368,107,1238,29823,370,,,,,,,,,,,,,,,,,
2003,Ehi-Rovipuka,372,169,188,49,124,1405,692,,,,,,,,,,,,,,,,,
2003,Etendeka,1295,155,726,8,139,8026,81,,,,,,,,,,,,,,,,,
2003,Hobatere,1636,54,233,34,22,1762,45,,,,,,,,,,,,,,,,,
2003,Marienfluss,1185,,102,,309,6680,94,,,,,,,,,,,,,,,,,
2003,Okangundumba,,,,,126,4685,237,,,,,,,,,,,,,,,,,
2003,Okondjombo,2770,188,1913,,1071,10136,,,,,,,,,,,,,,,,,,
2003,Omatendeka,137,16,,10,42,6268,244,,,,,,,,,,,,,,,,,
2003,Orupembe,3411,,,20,861,15313,508,,,,,,,,,,,,,,,,,
2003,Orupupa,366,,,179,1974,5165,3400,,,,,,,,,,,,,,,,,
2003,Otjimboyo,,,,64,,97,329,,,,,,,,,,,,,,,,,
2003,Ozondundu,,,,135,,220,78,,,,,,,,,,,,,,,,,
2003,Palmwag,2508,130,3213,28,479,35409,505,,,,,,,,,,,,,,,,,
2003,Puros,2682,124,255,,1119,4019,285,,,,,,,,,,,,,,,,,
