Name,Species,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total_Area,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2016,15,4,158,66,379,258,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2017,48,5,125,10,1360,332,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2018,18,4,80,10,510,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2018,18,4,80,10,510,332,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2019,27,9,110,30,440,332,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2020,56,3,203,15,2658,332,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2020,56,3,203,15,2658,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2021,47,8,174,47,1149,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2021,47,8,174,47,1149,332,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2022,46,5,156,14,1734,258,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2022,46,5,156,14,1734,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2023,3,1,14,14,180,258,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2024,2,2,10,1,165,,,,,,,,,,,,,,,,,,
Hobatere,Gemsbok,2024,2,2,10,1,165,258,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2016,130,24,900,190,4250,258,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2017,52,11,210,30,1670,332,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2018,80,14,340,160,730,,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2018,80,14,340,160,730,332,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2019,27,5,120,40,380,332,,,,,,,,,,,,,,,,,
Hobatere,Hartmann's Zebra,2020,111,9,181,72,455,,,,,,,,,,,,,,,,,,
