ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2001,,,450,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2002,,,501,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2003,,,490,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2004,,,514,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2005,,,500,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2006,,,500,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2007,,,497,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2008,,,497,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2009,,,491,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2010,,,494,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2011,,,482,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2012,,,500,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2013,,,449,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2014,,,301,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2015,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2016,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2017,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2018,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2019,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2020,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2021,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2022,,,507,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2023,,,477,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Aardwolf,2024,,,477,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2001,,,450,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2002,,,501,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2003,,,490,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2004,,,514,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2005,,,500,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2006,,,500,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2007,,,497,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2008,,,497,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2009,,,491,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2010,,,494,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2011,,,482,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2012,,,500,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2013,,,449,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2014,,,301,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2015,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2016,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2017,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2018,,,465,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2019,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2020,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2021,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2022,,,507,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2023,,,477,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Antbear,2024,,,477,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2001,62,4,450,13.8,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2002,39,2,501,7.8,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2003,25,1,490,5.1,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2004,42,4,514,8.2,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2005,54,2,500,10.8,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2006,34,3,500,6.8,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2007,77,3,497,15.5,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2008,57,4,497,11.5,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2009,79,4,491,16.1,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2010,83,4,494,16.8,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2011,50,3,482,10.4,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2012,74,6,500,14.8,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2013,22,4,449,4.9,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2014,33,2,301,11,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2015,19,1,465,4.1,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2016,174,6,465,37.4,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2017,113,4,465,24.3,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2018,35,2,465,7.5,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2019,61,5,481,12.7,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2020,,,481,,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2021,3,1,481,0.6,,,,,,,,,,,,,,,,,,
3,≠Khoadi-//Hôas,Baboon,2022,,,507,,,,,,,,,,,,,,,,,,,
