Species,Year,Animals Sighted,Transect Length (km),Animals per 100km
Baboon,2001,144,6157,2.3
Baboon,2002,116,5915,2
Baboon,2003,203,6129,3.3
Baboon,2004,135,6564,2.1
Baboon,2005,555,7009,7.9
Baboon,2006,165,6667,2.5
Baboon,2007,567,6719,8.4
Baboon,2008,239,7125,3.4
Baboon,2009,310,7221,4.3
Baboon,2010,390,7466,5.2
Baboon,2011,172,7232,2.4
Baboon,2012,510,7288,7
Baboon,2013,548,7757,7.1
Baboon,2014,192,7433,2.6
Baboon,2015,337,8771,3.8
Baboon,2016,674,7900,8.5
Baboon,2017,302,7760,3.9
Baboon,2018,356,8267,4.3
Baboon,2019,443,7961,5.6
Baboon,2020,136,8310,1.6
Baboon,2021,82,8221,1
Baboon,2022,144,8296,1.7
Baboon,2023,276,8118,3.4
Baboon,2024,344,8516,4
Cheetah,2001,5,6157,0.1
Cheetah,2002,1,5915,0
Cheetah,2003,7,6129,0.1
Cheetah,2004,7,6564,0.1
Cheetah,2005,14,7009,0.2
Cheetah,2006,2,6667,0
Cheetah,2007,4,6719,0.1
Cheetah,2008,7,7125,0.1
Cheetah,2009,6,7221,0.1
Cheetah,2010,3,7466,0
Cheetah,2011,,7232,
Cheetah,2012,5,7288,0.1
Cheetah,2013,3,7757,0
Cheetah,2014,11,7433,0.1
Cheetah,2015,5,8771,0.1
Cheetah,2016,,7900,
Cheetah,2017,6,7760,0.1
Cheetah,2018,1,8267,0
Cheetah,2019,2,7961,0
Cheetah,2020,5,8310,0.1
Cheetah,2021,,8221,
Cheetah,2022,1,8296,0
Cheetah,2023,1,8118,0
Cheetah,2024,2,8516,0
Duiker,2001,13,6157,0.2
Duiker,2002,6,5915,0.1
Duiker,2003,3,6129,0
Duiker,2004,5,6564,0.1
Duiker,2005,18,7009,0.3
Duiker,2006,3,6667,0
Duiker,2007,8,6719,0.1
Duiker,2008,,7125,
Duiker,2009,7,7221,0.1
Duiker,2010,6,7466,0.1
Duiker,2011,11,7232,0.2
Duiker,2012,3,7288,0
Duiker,2013,14,7757,0.2
Duiker,2014,9,7433,0.1
Duiker,2015,6,8771,0.1
Duiker,2016,11,7900,0.1
Duiker,2017,2,7760,0
Duiker,2018,5,8267,0.1
Duiker,2019,8,7961,0.1
Duiker,2020,2,8310,0
Duiker,2021,4,8221,0
Duiker,2022,4,8296,0
Duiker,2023,3,8118,0
Duiker,2024,5,8516,0.1
Eland,2001,63,6157,1
Eland,2002,19,5915,0.3
Eland,2003,,6129,
Eland,2004,12,6564,0.2
Eland,2005,10,7009,0.1
Eland,2006,12,6667,0.2
Eland,2007,45,6719,0.7
Eland,2008,5,7125,0.1
Eland,2009,30,7221,0.4
Eland,2010,,7466,
Eland,2011,13,7232,0.2
Eland,2012,2,7288,0
Eland,2013,,7757,
Eland,2014,5,7433,0.1
Eland,2015,45,8771,0.5
Eland,2016,21,7900,0.3
Eland,2017,5,7760,0.1
Eland,2018,9,8267,0.1
Eland,2019,26,7961,0.3
Eland,2020,1,8310,0
Eland,2021,,8221,
Eland,2022,,8296,
Eland,2023,,8118,
Eland,2024,,8516,
Elephant,2001,40,6157,0.6
Elephant,2002,24,5915,0.4
Elephant,2003,45,6129,0.7
Elephant,2004,17,6564,0.3
Elephant,2005,107,7009,1.5
Elephant,2006,5,6667,0.1
Elephant,2007,36,6719,0.5
Elephant,2008,44,7125,0.6
Elephant,2009,72,7221,1
