Name,Species,Year,Animals Seen,Transect Length (km),Animals per 100km,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2004,4,67,6,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2017,1,86,1.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2018,20,86,23.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2019,20,96,20.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Baboon,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Cheetah,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2001,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2002,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2007,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2015,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2016,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2020,,96,,,,,,,,,,,,,,,,,,,,,
