ID_Location,Name,SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,,,,,,,,,
40,King Nehale,Springbok,2011,618,66,2357,,,,,,,,,,,
40,King Nehale,Springbok,2012,296,52,3300,,,,,,,,,,,
40,King Nehale,Springbok,2013,305,46,3033,499,18439,,,,,,,,,
40,King Nehale,Springbok,2014,291,53,1949,419,9065,,,,,,,,,
40,King Nehale,Springbok,2015,235,45,1380,275,6910,,,,,,,,,
40,King Nehale,Springbok,2016,213,35,1550,266,8981,,,,,,,,,
40,King Nehale,Springbok,2017,287,44,2565,712,9236,,,,,,,,,
40,King Nehale,Springbok,2018,365,50,3176,988,10209,,,,,,,,,
40,King Nehale,Springbok,2019,326,42,2888,710,11746,,,,,,,,,
40,King Nehale,Springbok,2020,105,17,980,340,2400,,,,,,,,,
40,King Nehale,Springbok,2021,104,29,880,277,2796,,,,,,,,,
40,King Nehale,Springbok,2022,186,34,1535,351,6716,,,,,,,,,
40,King Nehale,Springbok,2023,281,32,1770,285,10979,,,,,,,,,
40,King Nehale,Springbok,2024,210,20,1389,240,8041,,,,,,,,,
40,King Nehale,Steenbok,2012,5,5,310,,,,,,,,,,,
40,King Nehale,Steenbok,2013,5,5,200,15,2624,,,,,,,,,
40,King Nehale,Steenbok,2014,3,3,121,9,1672,,,,,,,,,
40,King Nehale,Steenbok,2015,2,2,80,6,1140,,,,,,,,,
40,King Nehale,Steenbok,2020,2,2,115,6,2067,,,,,,,,,
40,King Nehale,Wildebeest,2016,144,10,590,70,4975,,,,,,,,,
40,King Nehale,Wildebeest,2017,202,10,940,127,6909,,,,,,,,,
40,King Nehale,Wildebeest,2018,170,14,884,170,4602,,,,,,,,,
40,King Nehale,Wildebeest,2019,279,8,1539,273,8676,,,,,,,,,
40,King Nehale,Wildebeest,2020,44,2,240,14,4320,,,,,,,,,
40,King Nehale,Wildebeest,2021,66,7,592,133,2641,,,,,,,,,
40,King Nehale,Wildebeest,2022,83,2,180,37,873,,,,,,,,,
40,King Nehale,Wildebeest,2023,91,6,531,51,5553,,,,,,,,,
57,Okongo,Duiker,2014,13,13,92,46,182,,,,,,,,,
57,Okongo,Duiker,2015,8,8,76,26,220,,,,,,,,,
57,Okongo,Duiker,2016,6,6,30,12,77,,,,,,,,,
57,Okongo,Duiker,2017,10,9,65,24,171,,,,,,,,,
57,Okongo,Duiker,2018,8,8,55,28,106,,,,,,,,,
57,Okongo,Duiker,2019,10,10,50,17,147,,,,,,,,,
57,Okongo,Duiker,2020,8,7,30,12,85,,,,,,,,,
57,Okongo,Duiker,2021,6,6,86,51,146,,,,,,,,,
57,Okongo,Duiker,2022,6,6,72,40,129,,,,,,,,,
57,Okongo,Duiker,2024,3,3,36,12,109,,,,,,,,,
57,Okongo,Eland,2013,14,4,50,15,169,,,,,,,,,
57,Okongo,Eland,2014,42,5,156,35,700,,,,,,,,,
57,Okongo,Eland,2015,13,6,25,8,80,,,,,,,,,
57,Okongo,Eland,2016,22,5,90,18,466,,,,,,,,,
57,Okongo,Eland,2017,66,5,260,68,1000,,,,,,,,,
57,Okongo,Eland,2018,20,4,72,22,237,,,,,,,,,
57,Okongo,Eland,2019,26,5,77,20,288,,,,,,,,,
57,Okongo,Eland,2020,70,6,160,25,1060,,,,,,,,,
57,Okongo,Eland,2021,82,9,254,122,529,,,,,,,,,
57,Okongo,Eland,2022,73,8,172,77,383,,,,,,,,,
57,Okongo,Eland,2023,128,13,389,163,928,,,,,,,,,
57,Okongo,Eland,2024,87,10,319,107,944,,,,,,,,,
57,Okongo,Kudu,2020,7,4,40,13,126,,,,,,,,,
57,Okongo,Steenbok,2012,6,6,380,,,,,,,,,,,
57,Okongo,Steenbok,2014,7,7,42,14,121,,,,,,,,,
57,Okongo,Steenbok,2014,7,7,42,14,121,,,,,,,,,
57,Okongo,Steenbok,2015,7,6,40,12,102,,,,,,,,,
57,Okongo,Steenbok,2016,6,5,40,11,115,,,,,,,,,
57,Okongo,Steenbok,2018,6,5,71,22,233,,,,,,,,,
57,Okongo,Steenbok,2020,5,5,50,15,160,,,,,,,,,
35,Sheya Shuushona,Duiker,2013,33,28,2447,1233,4856,,,,,,,,,
35,Sheya Shuushona,Duiker,2014,24,17,1552,489,4930,,,,,,,,,
35,Sheya Shuushona,Duiker,2015,17,15,1290,480,3490,,,,,,,,,
35,Sheya Shuushona,Duiker,2016,28,25,1040,374,2873,,,,,,,,,
35,Sheya Shuushona,Duiker,2017,34,24,1490,531,4208,,,,,,,,,
35,Sheya Shuushona,Duiker,2018,11,7,560,206,1521,,,,,,,,,
35,Sheya Shuushona,Duiker,2019,9,4,283,40,1985,,,,,,,,,
35,Sheya Shuushona,Duiker,2020,15,12,585,161,2128,,,,,,,,,
35,Sheya Shuushona,Duiker,2021,8,8,648,250,1670,,,,,,,,,
35,Sheya Shuushona,Duiker,2022,11,8,954,372,2450,,,,,,,,,
35,Sheya Shuushona,Duiker,2023,37,30,2579,821,8100,,,,,,,,,
35,Sheya Shuushona,Duiker,2024,20,12,1593,564,4497,,,,,,,,,
35,Sheya Shuushona,Ostrich,2011,61,31,1634,,,,,,,,,,,
35,Sheya Shuushona,Ostrich,2012,35,20,640,,,,,,,,,,,
35,Sheya Shuushona,Ostrich,2013,59,23,1040,487,2223,,,,,,,,,
35,Sheya Shuushona,Ostrich,2014,44,15,957,509,1802,,,,,,,,,
35,Sheya Shuushona,Ostrich,2015,50,29,2100,980,4500,,,,,,,,,
35,Sheya Shuushona,Ostrich,2016,22,11,810,322,2057,,,,,,,,,
35,Sheya Shuushona,Ostrich,2017,22,14,790,338,1853,,,,,,,,,
35,Sheya Shuushona,Ostrich,2018,46,8,1631,271,9818,,,,,,,,,
35,Sheya Shuushona,Ostrich,2019,33,9,1240,412,3735,,,,,,,,,
35,Sheya Shuushona,Ostrich,2020,24,10,550,100,2940,,,,,,,,,
35,Sheya Shuushona,Ostrich,2021,3,3,104,16,680,,,,,,,,,
35,Sheya Shuushona,Ostrich,2022,37,6,528,122,2288,,,,,,,,,
35,Sheya Shuushona,Ostrich,2023,21,7,517,119,2247,,,,,,,,,
35,Sheya Shuushona,Ostrich,2024,11,1,70,11,468,,,,,,,,,
35,Sheya Shuushona,Springbok,2011,347,39,6848,,,,,,,,,,,
35,Sheya Shuushona,Springbok,2012,180,24,2390,,,,,,,,,,,
35,Sheya Shuushona,Springbok,2013,211,28,3604,1261,10304,,,,,,,,,
35,Sheya Shuushona,Springbok,2014,65,12,1140,304,4284,,,,,,,,,
35,Sheya Shuushona,Springbok,2015,78,18,2100,675,6510,,,,,,,,,
35,Sheya Shuushona,Springbok,2016,86,16,2050,793,5312,,,,,,,,,
