ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,
73,Iipumbu ya Tshilongo,Baboon,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Baboon,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Bat-eared Fox,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Bat-eared Fox,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Burchell's Zebra,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Burchell's Zebra,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Caracal,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Caracal,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Cheetah,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Cheetah,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Dik Dik,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Dik Dik,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Duiker,2023,3,3,113,2.7,,,,,,,,,,
73,Iipumbu ya Tshilongo,Duiker,2024,1,1,112,0.9,,,,,,,,,,
73,Iipumbu ya Tshilongo,Eland,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Eland,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Elephant,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Elephant,2024,6,2,112,5.4,,,,,,,,,,
73,Iipumbu ya Tshilongo,Gemsbok,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Gemsbok,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Giraffe,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Giraffe,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Guineafowl,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Guineafowl,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Hartebeest,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Hartebeest,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Hartmann's Zebra,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Hartmann's Zebra,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Honey Badger,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Honey Badger,2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,"Impala, Black-faced",2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,"Impala, Black-faced",2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,"Jackal, Black-backed",2023,1,1,113,0.9,,,,,,,,,,
73,Iipumbu ya Tshilongo,"Jackal, Black-backed",2024,,,112,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Kori Bustard,2023,,,113,,,,,,,,,,,
73,Iipumbu ya Tshilongo,Kori Bustard,2024,,,112,,,,,,,,,,,
