Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
Baboon,2003,,,,,,,,,,,,,,,,
Baboon,2004,,,,,,,,,,,,,,,,
Baboon,2005,,,,,,,,,,,,,,,,
Baboon,2006,,,,,,,,,,,,,,,,
Baboon,2007,,,,,,,,,,,,,,,,
Baboon,2008,,,,,,,,,,,,,,,,
Baboon,2009,,,204,,,,,,,,,,,,,
Baboon,2010,,,852,,,,,,,,,,,,,
Baboon,2011,32,1,1019,3.1,,,,,,,,,,,,
Baboon,2012,,,1070,,,,,,,,,,,,,
Baboon,2013,,,900,,,,,,,,,,,,,
Baboon,2014,,,896,,,,,,,,,,,,,
Baboon,2015,,,896,,,,,,,,,,,,,
Baboon,2016,,,917,,,,,,,,,,,,,
Baboon,2017,7,1,858,0.8,,,,,,,,,,,,
Baboon,2018,,,851,,,,,,,,,,,,,
Baboon,2019,,,864,,,,,,,,,,,,,
Baboon,2020,,,858,,,,,,,,,,,,,
Baboon,2021,,,928,,,,,,,,,,,,,
Baboon,2022,,,911,,,,,,,,,,,,,
Baboon,2023,,,974,,,,,,,,,,,,,
Baboon,2024,,,1060,,,,,,,,,,,,,
Bat-eared Fox,2003,,,,,,,,,,,,,,,,
Bat-eared Fox,2004,1,1,,,,,,,,,,,,,,
Bat-eared Fox,2005,,,,,,,,,,,,,,,,
Bat-eared Fox,2006,3,1,,,,,,,,,,,,,,
Bat-eared Fox,2007,3,2,,,,,,,,,,,,,,
Bat-eared Fox,2008,,,,,,,,,,,,,,,,
Bat-eared Fox,2009,2,1,204,1,,,,,,,,,,,,
Bat-eared Fox,2010,,,852,,,,,,,,,,,,,
Bat-eared Fox,2011,,,1019,,,,,,,,,,,,,
Bat-eared Fox,2012,2,1,1070,0.2,,,,,,,,,,,,
Bat-eared Fox,2013,,,900,,,,,,,,,,,,,
Bat-eared Fox,2014,,,896,,,,,,,,,,,,,
Bat-eared Fox,2015,,,896,,,,,,,,,,,,,
Bat-eared Fox,2016,,,917,,,,,,,,,,,,,
Bat-eared Fox,2017,,,858,,,,,,,,,,,,,
Bat-eared Fox,2018,,,851,,,,,,,,,,,,,
Bat-eared Fox,2019,,,864,,,,,,,,,,,,,
Bat-eared Fox,2020,,,858,,,,,,,,,,,,,
Bat-eared Fox,2021,,,928,,,,,,,,,,,,,
Bat-eared Fox,2022,2,1,911,0.2,,,,,,,,,,,,
Bat-eared Fox,2023,,,974,,,,,,,,,,,,,
Bat-eared Fox,2024,,,1060,,,,,,,,,,,,,
Burchell's Zebra,2003,15,1,,,,,,,,,,,,,,
Burchell's Zebra,2004,24,1,,,,,,,,,,,,,,
Burchell's Zebra,2005,42,4,,,,,,,,,,,,,,
Burchell's Zebra,2006,51,4,,,,,,,,,,,,,,
Burchell's Zebra,2007,57,3,,,,,,,,,,,,,,
Burchell's Zebra,2008,11,1,,,,,,,,,,,,,,
Burchell's Zebra,2009,225,10,204,110.1,,,,,,,,,,,,
Burchell's Zebra,2010,101,7,852,11.9,,,,,,,,,,,,
Burchell's Zebra,2011,56,4,1019,5.5,,,,,,,,,,,,
Burchell's Zebra,2012,71,6,1070,6.6,,,,,,,,,,,,
Burchell's Zebra,2013,57,6,900,6.3,,,,,,,,,,,,
Burchell's Zebra,2014,186,14,896,20.7,,,,,,,,,,,,
Burchell's Zebra,2015,152,15,896,17,,,,,,,,,,,,
Burchell's Zebra,2016,244,20,917,26.6,,,,,,,,,,,,
Burchell's Zebra,2017,,,858,,,,,,,,,,,,,
Burchell's Zebra,2018,,,851,,,,,,,,,,,,,
Burchell's Zebra,2019,,,864,,,,,,,,,,,,,
Burchell's Zebra,2020,,,858,,,,,,,,,,,,,
Burchell's Zebra,2021,135,10,928,14.6,,,,,,,,,,,,
Burchell's Zebra,2022,84,11,911,9.2,,,,,,,,,,,,
Burchell's Zebra,2023,13,3,974,1.3,,,,,,,,,,,,
Burchell's Zebra,2024,34,7,1060,3.2,,,,,,,,,,,,
Caracal,2003,,,,,,,,,,,,,,,,
Caracal,2004,,,,,,,,,,,,,,,,
Caracal,2005,,,,,,,,,,,,,,,,
