Year,ID_Location,Name,Total route length (km),Total duration (hrs),Number of routes,Area Excluded (km2),Total area (km2),,,,,,,,,,,,,,,,,,
2024,36,!Gawachab,49,3.9,2,0,132,,,,,,,,,,,,,,,,,,
2024,52,!Han /Awab,281.8,16.9,5,0,1923,,,,,,,,,,,,,,,,,,
2024,23,!Khob !Naub,407.6,16.8,7,0,2747,,,,,,,,,,,,,,,,,,
2024,24,//Gamaseb,330.6,17,6,0,1748,,,,,,,,,,,,,,,,,,
2024,8002,Ai-Ais Hot Springs,135.8,7.7,3,3908,4315,,,,,,,,,,,,,,,,,,
2024,8001,Hardap Game Park,100.2,6.2,2,5,243,,,,,,,,,,,,,,,,,,
2024,58,Huibes,174.1,16.3,5,377,1328,,,,,,,,,,,,,,,,,,
2024,8003,Naute Game Park,130.8,9,3,58,361,,,,,,,,,,,,,,,,,,
2024,14,Oskop,88.3,6.1,2,0,96,,,,,,,,,,,,,,,,,,
2023,36,!Gawachab,47,3.8,2,0,132,,,,,,,,,,,,,,,,,,
2023,52,!Han /Awab,298.8,17.9,5,0,1923,,,,,,,,,,,,,,,,,,
2023,23,!Khob !Naub,460,20.1,7,0,2747,,,,,,,,,,,,,,,,,,
2023,24,//Gamaseb,338.5,18.6,6,0,1748,,,,,,,,,,,,,,,,,,
2023,8002,Ai-Ais Hot Springs,131.8,8.4,3,3908,4315,,,,,,,,,,,,,,,,,,
2023,8001,Hardap Game Park,96,6.7,2,5,243,,,,,,,,,,,,,,,,,,
2023,58,Huibes,181,16.2,5,377,1328,,,,,,,,,,,,,,,,,,
2023,8003,Naute Game Park,131,7.3,3,58,361,,,,,,,,,,,,,,,,,,
2023,14,Oskop,92,4.8,2,0,96,,,,,,,,,,,,,,,,,,
2022,36,!Gawachab,48,4.6,2,0,132,,,,,,,,,,,,,,,,,,
2022,52,!Han /Awab,288,16.5,5,0,1923,,,,,,,,,,,,,,,,,,
2022,23,!Khob !Naub,433.8,23.3,7,0,2747,,,,,,,,,,,,,,,,,,
2022,24,//Gamaseb,349,23.5,6,0,1748,,,,,,,,,,,,,,,,,,
2022,8002,Ai-Ais Hot Springs,63,9.1,3,3908,4315,,,,,,,,,,,,,,,,,,
2022,8001,Hardap Game Park,100,6.7,2,0,243,,,,,,,,,,,,,,,,,,
2022,58,Huibes,199.9,19.3,5,377,1328,,,,,,,,,,,,,,,,,,
2022,8003,Naute Game Park,126,8.5,3,58,361,,,,,,,,,,,,,,,,,,
2022,14,Oskop,96,6.1,2,0,96,,,,,,,,,,,,,,,,,,
2021,36,!Gawachab,45.5,1.6,2,0,132,,,,,,,,,,,,,,,,,,
2021,52,!Han /Awab,283.2,9,5,0,1923,,,,,,,,,,,,,,,,,,
2021,23,!Khob !Naub,443.6,12.7,7,0,2747,,,,,,,,,,,,,,,,,,
