ID_Location,Name,SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2014,29,6,89,1,11026,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2015,22,3,44,13,148,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2016,19,2,19,2,22,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2017,16,5,95,39,236,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2018,28,6,114,50,259,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2019,9,3,67,22,201,,,,,,,,,,,,,,,,,
36,!Gawachab,Gemsbok,2023,7,2,59,16,212,,,,,,,,,,,,,,,,,
36,!Gawachab,Kudu,2023,1,1,11,2,58,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2015,6,3,22,7,68,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2017,30,5,144,58,354,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2018,6,2,40,11,143,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2019,14,4,100,38,264,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2021,17,4,100,38,262,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2022,10,3,54,11,253,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2023,4,2,47,13,169,,,,,,,,,,,,,,,,,
36,!Gawachab,Ostrich,2024,4,2,33,9,118,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2013,15,4,109,15,,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2014,97,12,414,185,925,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2015,100,13,418,191,914,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2016,20,8,20,8,184,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2017,39,9,219,108,442,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2018,97,8,678,183,2510,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2019,26,6,127,30,544,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2021,54,7,218,90,526,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2022,5,3,62,17,226,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2023,13,5,117,46,296,,,,,,,,,,,,,,,,,
36,!Gawachab,Springbok,2024,38,5,69,27,177,,,,,,,,,,,,,,,,,
36,!Gawachab,Steenbok,2016,1,1,1,1,11,,,,,,,,,,,,,,,,,
36,!Gawachab,Steenbok,2018,1,1,23,4,117,,,,,,,,,,,,,,,,,
36,!Gawachab,Steenbok,2023,1,1,22,4,111,,,,,,,,,,,,,,,,,
52,!Han /Awab,Gemsbok,2021,,,23,4,122,,,,,,,,,,,,,,,,,
52,!Han /Awab,Gemsbok,2023,1,1,62,12,328,,,,,,,,,,,,,,,,,
52,!Han /Awab,Gemsbok,2024,6,2,110,31,392,,,,,,,,,,,,,,,,,
