Species,Year,Total,Books,Index
"Jackal, Black-backed",2007,13,7,1.9
"Jackal, Black-backed",2008,126,28,4.5
"Jackal, Black-backed",2009,120,27,4.4
"Jackal, Black-backed",2010,33,41,0.8
"Jackal, Black-backed",2011,144,23,6.3
"Jackal, Black-backed",2012,401,32,12.5
"Jackal, Black-backed",2013,329,35,9.4
"Jackal, Black-backed",2014,96,41,2.3
"Jackal, Black-backed",2015,10,8,1.2
"Jackal, Black-backed",2016,136,18,7.6
"Jackal, Black-backed",2017,104,19,5.5
"Jackal, Black-backed",2018,151,22,6.9
"Jackal, Black-backed",2019,180,10,18
"Jackal, Black-backed",2020,199,46,4.3
"Jackal, Black-backed",2021,121,19,6.4
"Jackal, Black-backed",2022,405,22,18.4
"Jackal, Black-backed",2023,268,14,19.1
