ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2005,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2006,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2007,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2008,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2009,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2010,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2011,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2012,,,73,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2013,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2014,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2015,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2016,1,1,92,1.1,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2017,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2018,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2019,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2020,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2021,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2022,,,96,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2023,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Aardwolf,2024,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2005,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2006,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2007,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2008,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2009,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2010,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2011,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2012,,,73,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2013,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2014,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2015,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2016,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2017,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2018,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2019,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2020,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2021,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2022,,,96,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2023,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Baboon,2024,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2005,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2006,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2007,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2008,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2009,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2010,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2011,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2012,,,73,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2013,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2014,3,1,82,3.6,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2015,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2016,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2017,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2018,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2019,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2020,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2021,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2022,,,96,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2023,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Bat-eared Fox,2024,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2005,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2006,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2007,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2008,,,33,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2009,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2010,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2011,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2012,,,73,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2013,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2014,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2015,,,82,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2016,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2017,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2018,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2019,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2020,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2021,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2022,,,96,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2023,,,92,,,,,,,,,,,,,,,,,,,
14,Oskop,Duiker,2024,,,88,,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2005,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2006,12,1,33,36.6,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2007,2,2,33,6.1,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2008,3,2,33,9.1,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2009,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2010,,,34,,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2011,10,3,34,29.4,,,,,,,,,,,,,,,,,,
14,Oskop,Gemsbok,2012,33,4,73,45.2,,,,,,,,,,,,,,,,,,
