Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,,,,,,,,,
Aardwolf,2005,,,811,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2006,,,827,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2007,,,810,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2008,,,1050,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2009,,,1150,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2010,,,1263,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2011,,,1463,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2012,,,1344,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2013,,,1386,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2014,,,1298,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2015,,,1427,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2016,1,1,1234,0.1,,,,,,,,,,,,,,,,,,,,
Aardwolf,2017,,,1451,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2018,,,1451,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2019,,,1451,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2020,,,1354,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2021,,,1451,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2022,1,1,1415,0.1,,,,,,,,,,,,,,,,,,,,
Aardwolf,2023,,,1417,,,,,,,,,,,,,,,,,,,,,
Aardwolf,2024,,,1331,,,,,,,,,,,,,,,,,,,,,
Baboon,2005,7,2,811,0.9,,,,,,,,,,,,,,,,,,,,
Baboon,2006,8,1,827,1,,,,,,,,,,,,,,,,,,,,
Baboon,2007,13,2,810,1.6,,,,,,,,,,,,,,,,,,,,
Baboon,2008,10,1,1050,1,,,,,,,,,,,,,,,,,,,,
Baboon,2009,,,1150,,,,,,,,,,,,,,,,,,,,,
Baboon,2010,,,1263,,,,,,,,,,,,,,,,,,,,,
Baboon,2011,,,1463,,,,,,,,,,,,,,,,,,,,,
Baboon,2012,13,2,1344,1,,,,,,,,,,,,,,,,,,,,
Baboon,2013,,,1386,,,,,,,,,,,,,,,,,,,,,
Baboon,2014,13,2,1298,1,,,,,,,,,,,,,,,,,,,,
Baboon,2015,,,1427,,,,,,,,,,,,,,,,,,,,,
Baboon,2016,,,1234,,,,,,,,,,,,,,,,,,,,,
Baboon,2017,60,3,1451,4.1,,,,,,,,,,,,,,,,,,,,
Baboon,2018,30,1,1451,2.1,,,,,,,,,,,,,,,,,,,,
Baboon,2019,90,5,1451,6.2,,,,,,,,,,,,,,,,,,,,
Baboon,2020,15,2,1354,1.1,,,,,,,,,,,,,,,,,,,,
Baboon,2021,55,4,1451,3.8,,,,,,,,,,,,,,,,,,,,
Baboon,2022,115,5,1415,8.1,,,,,,,,,,,,,,,,,,,,
Baboon,2023,122,8,1417,8.6,,,,,,,,,,,,,,,,,,,,
Baboon,2024,,,1331,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2005,,,811,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2006,,,827,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2007,6,1,810,0.7,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2008,,,1050,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2009,,,1150,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2010,,,1263,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2011,,,1463,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2012,,,1344,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2013,,,1386,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2014,3,1,1298,0.2,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2015,,,1427,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2016,,,1234,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2017,,,1451,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2018,,,1451,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2019,,,1451,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2020,,,1354,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2021,,,1451,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2022,,,1415,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2023,,,1417,,,,,,,,,,,,,,,,,,,,,
Bat-eared Fox,2024,1,1,1331,0.1,,,,,,,,,,,,,,,,,,,,
Duiker,2005,,,811,,,,,,,,,,,,,,,,,,,,,
Duiker,2006,,,827,,,,,,,,,,,,,,,,,,,,,
Duiker,2007,,,810,,,,,,,,,,,,,,,,,,,,,
Duiker,2008,,,1050,,,,,,,,,,,,,,,,,,,,,
Duiker,2009,,,1150,,,,,,,,,,,,,,,,,,,,,
Duiker,2010,,,1263,,,,,,,,,,,,,,,,,,,,,
Duiker,2011,,,1463,,,,,,,,,,,,,,,,,,,,,
Duiker,2012,,,1344,,,,,,,,,,,,,,,,,,,,,
Duiker,2013,,,1386,,,,,,,,,,,,,,,,,,,,,
Duiker,2014,,,1298,,,,,,,,,,,,,,,,,,,,,
Duiker,2015,,,1427,,,,,,,,,,,,,,,,,,,,,
Duiker,2016,,,1234,,,,,,,,,,,,,,,,,,,,,
Duiker,2017,,,1451,,,,,,,,,,,,,,,,,,,,,
Duiker,2018,,,1451,,,,,,,,,,,,,,,,,,,,,
Duiker,2019,,,1451,,,,,,,,,,,,,,,,,,,,,
Duiker,2020,,,1354,,,,,,,,,,,,,,,,,,,,,
Duiker,2021,,,1451,,,,,,,,,,,,,,,,,,,,,
Duiker,2022,,,1415,,,,,,,,,,,,,,,,,,,,,
Duiker,2023,,,1417,,,,,,,,,,,,,,,,,,,,,
Duiker,2024,,,1331,,,,,,,,,,,,,,,,,,,,,
Gemsbok,2005,,,811,,,,,,,,,,,,,,,,,,,,,
Gemsbok,2006,12,1,827,1.5,,,,,,,,,,,,,,,,,,,,
Gemsbok,2007,2,2,810,0.2,,,,,,,,,,,,,,,,,,,,
Gemsbok,2008,3,2,1050,0.3,,,,,,,,,,,,,,,,,,,,
Gemsbok,2009,13,2,1150,1.1,,,,,,,,,,,,,,,,,,,,
Gemsbok,2010,3,2,1263,0.2,,,,,,,,,,,,,,,,,,,,
Gemsbok,2011,12,5,1463,0.8,,,,,,,,,,,,,,,,,,,,
Gemsbok,2012,38,5,1344,2.8,,,,,,,,,,,,,,,,,,,,
Gemsbok,2013,39,8,1386,2.8,,,,,,,,,,,,,,,,,,,,
Gemsbok,2014,74,14,1298,5.7,,,,,,,,,,,,,,,,,,,,
Gemsbok,2015,84,12,1427,5.9,,,,,,,,,,,,,,,,,,,,
Gemsbok,2016,46,10,1234,3.7,,,,,,,,,,,,,,,,,,,,
Gemsbok,2017,55,10,1451,3.8,,,,,,,,,,,,,,,,,,,,
Gemsbok,2018,84,20,1451,5.8,,,,,,,,,,,,,,,,,,,,
Gemsbok,2019,74,13,1451,5.1,,,,,,,,,,,,,,,,,,,,
Gemsbok,2020,25,4,1354,1.8,,,,,,,,,,,,,,,,,,,,
