ID_Location,Name,Year,Total route length (km),Total duration (hrs),Number of routes,Total Area (km2),,,,,,,,,,,,
2,Salambala,2007,100.3,20.4,8,930,,,,,,,,,,,,
5,Wuparo,2007,59.3,9.6,5,148,,,,,,,,,,,,
8,Kwandu,2007,68.8,14.6,9,190,,,,,,,,,,,,
9,Mayuni,2007,55.1,19,5,151,,,,,,,,,,,,
16,Mashi,2007,67.3,19.6,7,297,,,,,,,,,,,,
43,Kasika,2007,37.4,15.9,6,147,,,,,,,,,,,,
44,Impalila,2007,23.2,5.3,6,73,,,,,,,,,,,,
45,Balyerwa,2007,58.4,12.6,6,225,,,,,,,,,,,,
49,Sobbe,2007,19.6,4.1,2,391,,,,,,,,,,,,
59,Dzoti,2007,9.8,3,1,287,,,,,,,,,,,,
66,Kabulabula,2007,52.5,11.5,8,89,,,,,,,,,,,,
80,Nakabolelwa,2007,26.3,9.7,7,114,,,,,,,,,,,,
8004,Bwabwata West,2007,644.9,124.1,40,630,,,,,,,,,,,,
8005,Mahango,2007,321,59.9,26,245,,,,,,,,,,,,
8006,Bwabwata East,2007,147.9,48.1,11,1345,,,,,,,,,,,,
8007,Mudumu,2007,78.8,32.4,11,716,,,,,,,,,,,,
2,Salambala,2008,188.4,42.9,13,930,,,,,,,,,,,,
5,Wuparo,2008,53,13.2,5,148,,,,,,,,,,,,
8,Kwandu,2008,59.8,13.2,6,190,,,,,,,,,,,,
9,Mayuni,2008,71.6,19.3,6,151,,,,,,,,,,,,
16,Mashi,2008,92.1,25.1,9,297,,,,,,,,,,,,
43,Kasika,2008,32.5,11,6,147,,,,,,,,,,,,
44,Impalila,2008,21.2,5.6,4,73,,,,,,,,,,,,
45,Balyerwa,2008,58,16.3,8,225,,,,,,,,,,,,
49,Sobbe,2008,110.6,28.2,10,391,,,,,,,,,,,,
59,Dzoti,2008,91.5,22.3,11,287,,,,,,,,,,,,
66,Kabulabula,2008,36.4,11.8,7,89,,,,,,,,,,,,
80,Nakabolelwa,2008,73,24.6,10,114,,,,,,,,,,,,
8004,Bwabwata West,2008,564.6,125.5,35,630,,,,,,,,,,,,
8005,Mahango,2008,322.7,63.4,22,245,,,,,,,,,,,,
8006,Bwabwata East,2008,609.2,145.7,44,1345,,,,,,,,,,,,
8007,Mudumu,2008,292,61.4,22,716,,,,,,,,,,,,
2,Salambala,2009,173,50.2,16,930,,,,,,,,,,,,
5,Wuparo,2009,59,13.9,5,148,,,,,,,,,,,,
8,Kwandu,2009,44.4,12.9,6,190,,,,,,,,,,,,
9,Mayuni,2009,67,16.6,6,151,,,,,,,,,,,,
16,Mashi,2009,94,29,9,297,,,,,,,,,,,,
43,Kasika,2009,34,8.8,7,147,,,,,,,,,,,,
44,Impalila,2009,16,2.7,4,73,,,,,,,,,,,,
45,Balyerwa,2009,92,18.7,12,225,,,,,,,,,,,,
49,Sobbe,2009,96,25.6,10,391,,,,,,,,,,,,
59,Dzoti,2009,90,24.7,12,287,,,,,,,,,,,,
66,Kabulabula,2009,22,8.6,6,89,,,,,,,,,,,,
80,Nakabolelwa,2009,33,6.3,8,114,,,,,,,,,,,,
8004,Bwabwata West,2009,548,135,35,630,,,,,,,,,,,,
8005,Mahango,2009,311,59,22,245,,,,,,,,,,,,
8006,Bwabwata East,2009,805,199.7,56,1345,,,,,,,,,,,,
8007,Mudumu,2009,315,65.7,23,716,,,,,,,,,,,,
2,Salambala,2010,197,49.5,16,930,,,,,,,,,,,,
5,Wuparo,2010,40,10.8,5,148,,,,,,,,,,,,
8,Kwandu,2010,29,13.5,6,190,,,,,,,,,,,,
9,Mayuni,2010,47,20.8,6,151,,,,,,,,,,,,
16,Mashi,2010,86,25.2,9,297,,,,,,,,,,,,
45,Balyerwa,2010,60,13.5,8,225,,,,,,,,,,,,
49,Sobbe,2010,178,23,9,391,,,,,,,,,,,,
59,Dzoti,2010,101,28.5,12,287,,,,,,,,,,,,
8004,Bwabwata West,2010,585,136,35,630,,,,,,,,,,,,
8005,Mahango,2010,318,60,22,245,,,,,,,,,,,,
8006,Bwabwata East,2010,824,185.1,58,1345,,,,,,,,,,,,
8007,Mudumu,2010,292,59.1,23,716,,,,,,,,,,,,
2,Salambala,2011,214.4,55.2,16,930,,,,,,,,,,,,
5,Wuparo,2011,60.3,17,5,148,,,,,,,,,,,,
8,Kwandu,2011,39.9,12.9,5,190,,,,,,,,,,,,
9,Mayuni,2011,68.8,22,6,151,,,,,,,,,,,,
16,Mashi,2011,96.3,25.5,9,297,,,,,,,,,,,,
45,Balyerwa,2011,76.4,22.8,12,225,,,,,,,,,,,,
49,Sobbe,2011,89.8,27.9,10,391,,,,,,,,,,,,
56,Sikunga,2011,40.8,9.1,4,287,,,,,,,,,,,,
59,Dzoti,2011,89.9,24.2,12,287,,,,,,,,,,,,
8004,Bwabwata West,2011,516.7,126.8,35,630,,,,,,,,,,,,
8005,Mahango,2011,294.3,58.7,22,245,,,,,,,,,,,,
8006,Bwabwata East,2011,868,177.8,58,1345,,,,,,,,,,,,
8007,Mudumu,2011,181.3,41.4,12,716,,,,,,,,,,,,
2,Salambala,2012,202,53,16,930,,,,,,,,,,,,
5,Wuparo,2012,43,13,5,148,,,,,,,,,,,,
8,Kwandu,2012,24,7.5,4,190,,,,,,,,,,,,
9,Mayuni,2012,73,22,6,151,,,,,,,,,,,,
16,Mashi,2012,81,26.5,9,297,,,,,,,,,,,,
45,Balyerwa,2012,75,23.5,12,225,,,,,,,,,,,,
49,Sobbe,2012,91,24,10,391,,,,,,,,,,,,
56,Sikunga,2012,46,9.5,4,287,,,,,,,,,,,,
59,Dzoti,2012,96,23,12,287,,,,,,,,,,,,
8004,Bwabwata West,2012,588.8,117,35,630,,,,,,,,,,,,
8005,Mahango,2012,336.7,61,23,245,,,,,,,,,,,,
8006,Bwabwata East,2012,832,184,58,1345,,,,,,,,,,,,
8007,Mudumu,2012,298,69,23,716,,,,,,,,,,,,
2,Salambala,2013,217.7,48.8,16,930,,,,,,,,,,,,
5,Wuparo,2013,59.4,16.2,5,148,,,,,,,,,,,,
8,Kwandu,2013,60.8,19,10,190,,,,,,,,,,,,
9,Mayuni,2013,65.1,19.9,6,151,,,,,,,,,,,,
16,Mashi,2013,83.6,23.2,8,297,,,,,,,,,,,,
45,Balyerwa,2013,67.6,21.1,12,225,,,,,,,,,,,,
49,Sobbe,2013,103,26.8,11,391,,,,,,,,,,,,
56,Sikunga,2013,48.3,9.7,4,287,,,,,,,,,,,,
59,Dzoti,2013,93.8,24.6,12,287,,,,,,,,,,,,
8004,Bwabwata West,2013,573.3,134.2,35,630,,,,,,,,,,,,
8005,Mahango,2013,327.2,67.7,22,245,,,,,,,,,,,,
8006,Bwabwata East,2013,845.4,195.1,58,1345,,,,,,,,,,,,
8007,Mudumu,2013,301,68.5,23,716,,,,,,,,,,,,
2,Salambala,2014,199,52.7,16,930,,,,,,,,,,,,
5,Wuparo,2014,57.2,12.7,5,148,,,,,,,,,,,,
8,Kwandu,2014,80,21.7,11,190,,,,,,,,,,,,
9,Mayuni,2014,74,19.7,6,151,,,,,,,,,,,,
16,Mashi,2014,104,21.8,9,297,,,,,,,,,,,,
45,Balyerwa,2014,78.8,18.5,12,225,,,,,,,,,,,,
49,Sobbe,2014,99,23.3,10,391,,,,,,,,,,,,
56,Sikunga,2014,47,9.9,4,287,,,,,,,,,,,,
59,Dzoti,2014,77.3,22.6,12,287,,,,,,,,,,,,
8004,Bwabwata West,2014,565,139.7,35,630,,,,,,,,,,,,
8005,Mahango,2014,326,63.4,22,245,,,,,,,,,,,,
8006,Bwabwata East,2014,881,196.8,58,1345,,,,,,,,,,,,
8007,Mudumu,2014,312,61.2,23,716,,,,,,,,,,,,
2,Salambala,2015,215,53.5,16,930,,,,,,,,,,,,
5,Wuparo,2015,28,7.2,3,148,,,,,,,,,,,,
8,Kwandu,2015,78,23.2,10,190,,,,,,,,,,,,
9,Mayuni,2015,70,16.3,6,151,,,,,,,,,,,,
16,Mashi,2015,79,19,8,297,,,,,,,,,,,,
45,Balyerwa,2015,78,20.3,12,225,,,,,,,,,,,,
49,Sobbe,2015,103,24.4,10,391,,,,,,,,,,,,
56,Sikunga,2015,61,14,6,287,,,,,,,,,,,,
59,Dzoti,2015,88,23.1,12,287,,,,,,,,,,,,
8004,Bwabwata West,2015,588,134.5,35,630,,,,,,,,,,,,
8005,Mahango,2015,329.7,57.5,22,245,,,,,,,,,,,,
8006,Bwabwata East,2015,867,185.1,57,1345,,,,,,,,,,,,
8007,Mudumu,2015,294,64.9,22,716,,,,,,,,,,,,
2,Salambala,2016,216,53.4,16,930,,,,,,,,,,,,
5,Wuparo,2016,47,11.5,5,148,,,,,,,,,,,,
8,Kwandu,2016,94,23.7,11,190,,,,,,,,,,,,
9,Mayuni,2016,77,19.9,6,151,,,,,,,,,,,,
16,Mashi,2016,85,28.9,9,297,,,,,,,,,,,,
45,Balyerwa,2016,86,23.5,12,225,,,,,,,,,,,,
49,Sobbe,2016,100,26.4,10,391,,,,,,,,,,,,
56,Sikunga,2016,59,13.9,6,287,,,,,,,,,,,,
59,Dzoti,2016,110,32.1,12,287,,,,,,,,,,,,
64,Bamunu,2016,98,25.4,9,556,,,,,,,,,,,,
8004,Bwabwata West,2016,599,139.1,35,630,,,,,,,,,,,,
8005,Mahango,2016,334,73.4,22,245,,,,,,,,,,,,
8006,Bwabwata East,2016,811,183,58,1345,,,,,,,,,,,,
8007,Mudumu,2016,313,70,23,716,,,,,,,,,,,,
8008,Nkasa Rupara,2016,92,7.2,3,338,,,,,,,,,,,,
2,Salambala,2017,216,45.4,16,930,,,,,,,,,,,,
