Species,Year,Total,Books,Index,,,,,
Cheetah,2002,1,5,0.2,,,,,
Cheetah,2003,1,5,0.2,,,,,
Cheetah,2004,1,9,0.1,,,,,
Cheetah,2005,1,8,0.1,,,,,
Cheetah,2006,35,84,0.4,,,,,
Cheetah,2007,7,110,0.1,,,,,
Cheetah,2008,7,114,0.1,,,,,
Cheetah,2009,3,124,0,,,,,
Cheetah,2010,5,118,0,,,,,
Cheetah,2011,3,8,0.4,,,,,
Cheetah,2014,2,25,0.1,,,,,
Cheetah,2015,10,27,0.4,,,,,
Cheetah,2016,2,15,0.1,,,,,
Cheetah,2017,6,29,0.2,,,,,
Cheetah,2018,1,15,0.1,,,,,
Cheetah,2019,2,14,0.1,,,,,
Cheetah,2021,1,15,0.1,,,,,
Cheetah,2022,1,21,0,,,,,
Cheetah,2023,0,23,0,,,,,
"Jackal, Black-backed",2002,119,33,3.6,,,,,
"Jackal, Black-backed",2003,214,48,4.5,,,,,
"Jackal, Black-backed",2004,274,59,4.6,,,,,
"Jackal, Black-backed",2005,340,56,6.1,,,,,
"Jackal, Black-backed",2006,443,84,5.3,,,,,
"Jackal, Black-backed",2007,850,110,7.7,,,,,
"Jackal, Black-backed",2008,636,118,5.4,,,,,
"Jackal, Black-backed",2009,603,124,4.9,,,,,
"Jackal, Black-backed",2010,674,121,5.6,,,,,
"Jackal, Black-backed",2011,481,109,4.4,,,,,
"Jackal, Black-backed",2012,397,107,3.7,,,,,
"Jackal, Black-backed",2013,211,103,2,,,,,
"Jackal, Black-backed",2014,208,144,1.4,,,,,
"Jackal, Black-backed",2015,252,128,2,,,,,
"Jackal, Black-backed",2016,275,166,1.7,,,,,
"Jackal, Black-backed",2017,240,150,1.6,,,,,
"Jackal, Black-backed",2018,249,142,1.8,,,,,
"Jackal, Black-backed",2019,217,157,1.4,,,,,
"Jackal, Black-backed",2020,220,145,1.5,,,,,
"Jackal, Black-backed",2021,327,182,1.8,,,,,
"Jackal, Black-backed",2022,305,159,1.9,,,,,
"Jackal, Black-backed",2023,284,130,2.2,,,,,
Leopard,2002,47,25,1.9,,,,,
Leopard,2003,63,47,1.3,,,,,
Leopard,2004,65,52,1.2,,,,,
Leopard,2005,153,72,2.1,,,,,
Leopard,2006,195,84,2.3,,,,,
Leopard,2007,238,110,2.2,,,,,
Leopard,2008,228,118,1.9,,,,,
Leopard,2009,266,124,2.1,,,,,
Leopard,2010,231,118,2,,,,,
Leopard,2011,167,77,2.2,,,,,
Leopard,2012,215,91,2.4,,,,,
Leopard,2013,228,112,2,,,,,
Leopard,2014,233,96,2.4,,,,,
Leopard,2015,251,120,2.1,,,,,
Leopard,2016,256,128,2,,,,,
Leopard,2017,161,135,1.2,,,,,
Leopard,2018,132,124,1.1,,,,,
Leopard,2019,157,111,1.4,,,,,
Leopard,2020,125,124,1,,,,,
Leopard,2021,154,142,1.1,,,,,
Leopard,2022,156,137,1.1,,,,,
Leopard,2023,115,113,1,,,,,
Lion,2002,208,33,6.3,,,,,
Lion,2003,328,54,6.1,,,,,
Lion,2004,208,59,3.5,,,,,
Lion,2005,374,63,5.9,,,,,
Lion,2006,356,84,4.2,,,,,
Lion,2007,320,110,2.9,,,,,
Lion,2008,308,118,2.6,,,,,
Lion,2009,202,124,1.6,,,,,
Lion,2010,146,118,1.2,,,,,
Lion,2011,184,102,1.8,,,,,
Lion,2012,366,103,3.6,,,,,
Lion,2013,724,107,6.8,,,,,
Lion,2014,360,116,3.1,,,,,
Lion,2015,435,121,3.6,,,,,
Lion,2016,633,150,4.2,,,,,
Lion,2017,521,183,2.8,,,,,
Lion,2018,476,173,2.8,,,,,
Lion,2019,426,172,2.5,,,,,
Lion,2020,326,149,2.2,,,,,
Lion,2021,313,171,1.8,,,,,
Lion,2022,302,180,1.7,,,,,
Lion,2023,468,149,3.1,,,,,
Spotted Hyaena,2002,437,33,13.2,,,,,
Spotted Hyaena,2003,734,56,13.1,,,,,
Spotted Hyaena,2004,892,61,14.6,,,,,
Spotted Hyaena,2005,980,69,14.2,,,,,
Spotted Hyaena,2006,1176,84,14,,,,,
Spotted Hyaena,2007,1238,110,11.3,,,,,
Spotted Hyaena,2008,918,118,7.8,,,,,
Spotted Hyaena,2009,1206,124,9.7,,,,,
Spotted Hyaena,2010,843,121,7,,,,,
Spotted Hyaena,2011,672,126,5.3,,,,,
Spotted Hyaena,2012,638,120,5.3,,,,,
Spotted Hyaena,2013,570,142,4,,,,,
Spotted Hyaena,2014,531,149,3.6,,,,,
Spotted Hyaena,2015,572,151,3.8,,,,,
Spotted Hyaena,2016,763,171,4.5,,,,,
Spotted Hyaena,2017,653,161,4.1,,,,,
Spotted Hyaena,2018,446,197,2.3,,,,,
Spotted Hyaena,2019,464,191,2.4,,,,,
Spotted Hyaena,2020,435,189,2.3,,,,,
Spotted Hyaena,2021,563,209,2.7,,,,,
Spotted Hyaena,2022,620,208,3,,,,,
Spotted Hyaena,2023,510,178,2.9,,,,,
