Name,Year,Species,Animals Seen,Groups Seen,Transect Length,Animals per 100km,Sequence,,,,,,,,,,,
Bwabwata,2007,African Wildcat,,,1008,,1,,,,,,,,,,,
Bwabwata,2008,African Wildcat,,,1497,,1,,,,,,,,,,,
Bwabwata,2009,African Wildcat,1,1,1664,0.1,1,,,,,,,,,,,
Bwabwata,2010,African Wildcat,,,1727,,1,,,,,,,,,,,
Bwabwata,2011,African Wildcat,,,1679,,1,,,,,,,,,,,
Bwabwata,2012,African Wildcat,1,1,1758,0.1,1,,,,,,,,,,,
Bwabwata,2013,African Wildcat,,,1746,,1,,,,,,,,,,,
Bwabwata,2014,African Wildcat,,,1772,,1,,,,,,,,,,,
Bwabwata,2015,African Wildcat,1,1,1785,0.1,1,,,,,,,,,,,
Bwabwata,2016,African Wildcat,,,1744,,1,,,,,,,,,,,
Bwabwata,2017,African Wildcat,,,1793,,1,,,,,,,,,,,
Bwabwata,2019,African Wildcat,,,1732,,1,,,,,,,,,,,
Bwabwata,2020,African Wildcat,,,1714,,1,,,,,,,,,,,
Bwabwata,2021,African Wildcat,1,1,1702,0.1,1,,,,,,,,,,,
Bwabwata,2022,African Wildcat,,,1716,,1,,,,,,,,,,,
Bwabwata,2023,African Wildcat,,,1885,,1,,,,,,,,,,,
Bwabwata,2007,Baboon,15,1,1008,1.5,1,,,,,,,,,,,
Bwabwata,2008,Baboon,99,4,1497,6.6,1,,,,,,,,,,,
Bwabwata,2009,Baboon,42,3,1664,2.5,1,,,,,,,,,,,
Bwabwata,2010,Baboon,188,9,1727,10.9,1,,,,,,,,,,,
Bwabwata,2011,Baboon,72,3,1679,4.3,1,,,,,,,,,,,
Bwabwata,2012,Baboon,67,2,1758,3.8,1,,,,,,,,,,,
Bwabwata,2013,Baboon,82,7,1746,4.7,1,,,,,,,,,,,
Bwabwata,2014,Baboon,127,6,1772,7.2,1,,,,,,,,,,,
Bwabwata,2015,Baboon,260,8,1785,14.6,1,,,,,,,,,,,
Bwabwata,2016,Baboon,210,9,1744,12,1,,,,,,,,,,,
Bwabwata,2017,Baboon,29,1,1793,1.6,1,,,,,,,,,,,
Bwabwata,2019,Baboon,148,6,1732,8.5,1,,,,,,,,,,,
Bwabwata,2020,Baboon,117,9,1714,6.8,1,,,,,,,,,,,
Bwabwata,2021,Baboon,88,4,1702,5.2,1,,,,,,,,,,,
Bwabwata,2022,Baboon,101,6,1716,5.9,1,,,,,,,,,,,
Bwabwata,2023,Baboon,93,5,1885,4.9,1,,,,,,,,,,,
Bwabwata,2007,Bat-eared Fox,,,1008,,1,,,,,,,,,,,
Bwabwata,2008,Bat-eared Fox,,,1497,,1,,,,,,,,,,,
Bwabwata,2009,Bat-eared Fox,,,1664,,1,,,,,,,,,,,
Bwabwata,2010,Bat-eared Fox,,,1727,,1,,,,,,,,,,,
Bwabwata,2011,Bat-eared Fox,4,2,1679,0.2,1,,,,,,,,,,,
Bwabwata,2012,Bat-eared Fox,2,1,1758,0.1,1,,,,,,,,,,,
Bwabwata,2013,Bat-eared Fox,,,1746,,1,,,,,,,,,,,
Bwabwata,2014,Bat-eared Fox,2,1,1772,0.1,1,,,,,,,,,,,
Bwabwata,2015,Bat-eared Fox,,,1785,,1,,,,,,,,,,,
Bwabwata,2016,Bat-eared Fox,,,1744,,1,,,,,,,,,,,
Bwabwata,2017,Bat-eared Fox,,,1793,,1,,,,,,,,,,,
Bwabwata,2019,Bat-eared Fox,,,1732,,1,,,,,,,,,,,
Bwabwata,2020,Bat-eared Fox,,,1714,,1,,,,,,,,,,,
Bwabwata,2021,Bat-eared Fox,,,1702,,1,,,,,,,,,,,
Bwabwata,2022,Bat-eared Fox,,,1716,,1,,,,,,,,,,,
Bwabwata,2023,Bat-eared Fox,,,1885,,1,,,,,,,,,,,
Bwabwata,2007,Buffalo,326,25,1008,32.3,1,,,,,,,,,,,
Bwabwata,2008,Buffalo,1296,30,1497,86.6,1,,,,,,,,,,,
Bwabwata,2009,Buffalo,2101,56,1664,126.3,1,,,,,,,,,,,
Bwabwata,2010,Buffalo,1057,33,1727,61.2,1,,,,,,,,,,,
Bwabwata,2011,Buffalo,1797,42,1679,107,1,,,,,,,,,,,
Bwabwata,2012,Buffalo,3880,49,1758,220.8,1,,,,,,,,,,,
Bwabwata,2013,Buffalo,1083,77,1746,62,1,,,,,,,,,,,
Bwabwata,2014,Buffalo,1218,47,1772,68.7,1,,,,,,,,,,,
Bwabwata,2015,Buffalo,2352,60,1785,131.8,1,,,,,,,,,,,
Bwabwata,2016,Buffalo,2761,62,1744,158.3,1,,,,,,,,,,,
Bwabwata,2017,Buffalo,2355,67,1793,131.3,1,,,,,,,,,,,
Bwabwata,2019,Buffalo,2210,67,1732,127.6,1,,,,,,,,,,,
Bwabwata,2020,Buffalo,2067,63,1714,120.6,1,,,,,,,,,,,
Bwabwata,2021,Buffalo,1912,66,1702,112.3,1,,,,,,,,,,,
Bwabwata,2022,Buffalo,940,42,1716,54.8,1,,,,,,,,,,,
Bwabwata,2023,Buffalo,1913,76,1885,101.5,1,,,,,,,,,,,
Bwabwata,2007,Burchell's Zebra,108,16,1008,10.7,1,,,,,,,,,,,
Bwabwata,2008,Burchell's Zebra,264,33,1497,17.6,1,,,,,,,,,,,
Bwabwata,2009,Burchell's Zebra,379,46,1664,22.8,1,,,,,,,,,,,
Bwabwata,2010,Burchell's Zebra,154,22,1727,8.9,1,,,,,,,,,,,
Bwabwata,2011,Burchell's Zebra,400,36,1679,23.8,1,,,,,,,,,,,
Bwabwata,2012,Burchell's Zebra,392,47,1758,22.3,1,,,,,,,,,,,
Bwabwata,2013,Burchell's Zebra,504,43,1746,28.9,1,,,,,,,,,,,
Bwabwata,2014,Burchell's Zebra,439,53,1772,24.8,1,,,,,,,,,,,
Bwabwata,2015,Burchell's Zebra,426,42,1785,23.9,1,,,,,,,,,,,
Bwabwata,2016,Burchell's Zebra,468,45,1744,26.8,1,,,,,,,,,,,
Bwabwata,2017,Burchell's Zebra,634,55,1793,35.4,1,,,,,,,,,,,
Bwabwata,2019,Burchell's Zebra,610,72,1732,35.2,1,,,,,,,,,,,
Bwabwata,2020,Burchell's Zebra,599,40,1714,34.9,1,,,,,,,,,,,
Bwabwata,2021,Burchell's Zebra,853,79,1702,50.1,1,,,,,,,,,,,
Bwabwata,2022,Burchell's Zebra,424,55,1716,24.7,1,,,,,,,,,,,
Bwabwata,2023,Burchell's Zebra,912,100,1885,48.4,1,,,,,,,,,,,
Bwabwata,2007,Bushbuck,5,4,1008,0.5,1,,,,,,,,,,,
Bwabwata,2008,Bushbuck,14,9,1497,0.9,1,,,,,,,,,,,
Bwabwata,2009,Bushbuck,10,7,1664,0.6,1,,,,,,,,,,,
Bwabwata,2010,Bushbuck,7,5,1727,0.4,1,,,,,,,,,,,
Bwabwata,2011,Bushbuck,9,5,1679,0.5,1,,,,,,,,,,,
Bwabwata,2012,Bushbuck,4,4,1758,0.2,1,,,,,,,,,,,
Bwabwata,2013,Bushbuck,10,7,1746,0.6,1,,,,,,,,,,,
Bwabwata,2014,Bushbuck,11,8,1772,0.6,1,,,,,,,,,,,
Bwabwata,2015,Bushbuck,9,6,1785,0.5,1,,,,,,,,,,,
Bwabwata,2016,Bushbuck,9,6,1744,0.5,1,,,,,,,,,,,
Bwabwata,2017,Bushbuck,13,9,1793,0.7,1,,,,,,,,,,,
Bwabwata,2019,Bushbuck,11,9,1732,0.6,1,,,,,,,,,,,
Bwabwata,2020,Bushbuck,2,2,1714,0.1,1,,,,,,,,,,,
Bwabwata,2021,Bushbuck,1,1,1702,0.1,1,,,,,,,,,,,
Bwabwata,2022,Bushbuck,4,2,1716,0.2,1,,,,,,,,,,,
Bwabwata,2023,Bushbuck,19,15,1885,1,1,,,,,,,,,,,
Bwabwata,2007,Bushpig,,,1008,,1,,,,,,,,,,,
Bwabwata,2008,Bushpig,,,1497,,1,,,,,,,,,,,
Bwabwata,2009,Bushpig,,,1664,,1,,,,,,,,,,,
