ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,,
2,Salambala,African Wildcat,1998,,,65,,,,,,,,,,,,
2,Salambala,African Wildcat,1999,,,171,,,,,,,,,,,,
2,Salambala,African Wildcat,2000,,,104,,,,,,,,,,,,
2,Salambala,African Wildcat,2001,,,86,,,,,,,,,,,,
2,Salambala,African Wildcat,2003,,,86,,,,,,,,,,,,
2,Salambala,African Wildcat,2006,,,52,,,,,,,,,,,,
2,Salambala,African Wildcat,2007,,,100,,,,,,,,,,,,
2,Salambala,African Wildcat,2008,,,188,,,,,,,,,,,,
2,Salambala,African Wildcat,2009,,,173,,,,,,,,,,,,
2,Salambala,African Wildcat,2010,,,197,,,,,,,,,,,,
2,Salambala,African Wildcat,2011,,,214,,,,,,,,,,,,
2,Salambala,African Wildcat,2012,,,202,,,,,,,,,,,,
2,Salambala,African Wildcat,2013,,,218,,,,,,,,,,,,
2,Salambala,African Wildcat,2014,,,199,,,,,,,,,,,,
2,Salambala,African Wildcat,2015,,,215,,,,,,,,,,,,
2,Salambala,African Wildcat,2016,,,216,,,,,,,,,,,,
2,Salambala,African Wildcat,2017,,,216,,,,,,,,,,,,
2,Salambala,African Wildcat,2018,,,217,,,,,,,,,,,,
2,Salambala,African Wildcat,2019,,,217,,,,,,,,,,,,
2,Salambala,African Wildcat,2020,,,200,,,,,,,,,,,,
2,Salambala,African Wildcat,2021,,,208,,,,,,,,,,,,
2,Salambala,African Wildcat,2022,,,208,,,,,,,,,,,,
2,Salambala,African Wildcat,2023,,,190,,,,,,,,,,,,
2,Salambala,Baboon,1998,,,65,,,,,,,,,,,,
2,Salambala,Baboon,1999,,,171,,,,,,,,,,,,
2,Salambala,Baboon,2000,,,104,,,,,,,,,,,,
2,Salambala,Baboon,2001,,,86,,,,,,,,,,,,
2,Salambala,Baboon,2003,,,86,,,,,,,,,,,,
2,Salambala,Baboon,2006,,,52,,,,,,,,,,,,
2,Salambala,Baboon,2007,,,100,,,,,,,,,,,,
2,Salambala,Baboon,2008,,,188,,,,,,,,,,,,
2,Salambala,Baboon,2009,,,173,,,,,,,,,,,,
2,Salambala,Baboon,2010,,,197,,,,,,,,,,,,
2,Salambala,Baboon,2011,,,214,,,,,,,,,,,,
2,Salambala,Baboon,2012,44,2,202,21.8,,,,,,,,,,,
2,Salambala,Baboon,2013,8,1,218,3.7,,,,,,,,,,,
2,Salambala,Baboon,2014,50,1,199,25.1,,,,,,,,,,,
2,Salambala,Baboon,2015,,,215,,,,,,,,,,,,
2,Salambala,Baboon,2016,,,216,,,,,,,,,,,,
2,Salambala,Baboon,2017,14,1,216,6.5,,,,,,,,,,,
2,Salambala,Baboon,2018,,,217,,,,,,,,,,,,
2,Salambala,Baboon,2019,12,1,217,5.5,,,,,,,,,,,
2,Salambala,Baboon,2020,,,200,,,,,,,,,,,,
2,Salambala,Baboon,2021,,,208,,,,,,,,,,,,
2,Salambala,Baboon,2022,,,208,,,,,,,,,,,,
2,Salambala,Baboon,2023,,,190,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,1998,,,65,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,1999,,,171,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2000,,,104,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2001,,,86,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2003,,,86,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2006,,,52,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2007,,,100,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2008,,,188,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2009,,,173,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2010,,,197,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2011,,,214,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2012,,,202,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2013,,,218,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2014,,,199,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2015,,,215,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2016,,,216,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2017,,,216,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2018,,,217,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2019,,,217,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2020,,,200,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2021,,,208,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2022,,,208,,,,,,,,,,,,
2,Salambala,Bat-eared Fox,2023,,,190,,,,,,,,,,,,
2,Salambala,Buffalo,1998,,,65,,,,,,,,,,,,
2,Salambala,Buffalo,1999,,,171,,,,,,,,,,,,
2,Salambala,Buffalo,2000,,,104,,,,,,,,,,,,
2,Salambala,Buffalo,2001,,,86,,,,,,,,,,,,
2,Salambala,Buffalo,2003,,,86,,,,,,,,,,,,
2,Salambala,Buffalo,2006,,,52,,,,,,,,,,,,
2,Salambala,Buffalo,2007,,,100,,,,,,,,,,,,
2,Salambala,Buffalo,2008,,,188,,,,,,,,,,,,
2,Salambala,Buffalo,2009,,,173,,,,,,,,,,,,
2,Salambala,Buffalo,2010,,,197,,,,,,,,,,,,
2,Salambala,Buffalo,2011,,,214,,,,,,,,,,,,
2,Salambala,Buffalo,2012,,,202,,,,,,,,,,,,
2,Salambala,Buffalo,2013,,,218,,,,,,,,,,,,
2,Salambala,Buffalo,2014,,,199,,,,,,,,,,,,
2,Salambala,Buffalo,2015,,,215,,,,,,,,,,,,
2,Salambala,Buffalo,2016,,,216,,,,,,,,,,,,
2,Salambala,Buffalo,2017,,,216,,,,,,,,,,,,
2,Salambala,Buffalo,2018,,,217,,,,,,,,,,,,
2,Salambala,Buffalo,2019,2,1,217,0.9,,,,,,,,,,,
2,Salambala,Buffalo,2020,,,200,,,,,,,,,,,,
2,Salambala,Buffalo,2021,,,208,,,,,,,,,,,,
2,Salambala,Buffalo,2022,,,208,,,,,,,,,,,,
2,Salambala,Buffalo,2023,,,190,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,1998,,,65,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,1999,,,171,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2000,,,104,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2001,,,86,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2003,,,86,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2006,,,52,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2007,244,2,100,243.3,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2008,350,4,188,185.8,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2009,723,6,173,417.9,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2010,407,5,197,206.6,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2011,1209,3,214,564,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2012,650,9,202,321.8,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2013,2219,3,218,1019.3,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2014,2501,8,199,1256.8,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2015,916,8,215,426,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2016,338,5,216,156.5,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2017,1968,9,216,911.1,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2018,507,9,217,233.6,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2019,165,4,217,76.1,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2020,284,5,200,142,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2021,647,5,208,311.1,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2022,,,208,,,,,,,,,,,,
2,Salambala,Burchell's Zebra,2023,148,2,190,78.1,,,,,,,,,,,
2,Salambala,Bushbuck,1998,,,65,,,,,,,,,,,,
2,Salambala,Bushbuck,1999,,,171,,,,,,,,,,,,
2,Salambala,Bushbuck,2000,,,104,,,,,,,,,,,,
2,Salambala,Bushbuck,2001,,,86,,,,,,,,,,,,
2,Salambala,Bushbuck,2003,,,86,,,,,,,,,,,,
2,Salambala,Bushbuck,2006,,,52,,,,,,,,,,,,
2,Salambala,Bushbuck,2007,,,100,,,,,,,,,,,,
2,Salambala,Bushbuck,2008,,,188,,,,,,,,,,,,
